"seller_id","order_count","bad_reviews","bad_review_pct","avg_review_score"
"8090490573c6c0aa343a7231ebcb8c86",26,6,23.1,4.19
aaed1309374718fdd995ee4c58c9dfcd,104,24,23.1,4.06
dd533b429f380718b70ad9922c294bae,39,9,23.1,3.92
"634964b17796e64304cadf1ad3050fb7",265,61,23.0,4.06
bd0389da23d89b726abf911cccc54596,87,20,23.0,4.17
"7142540dd4c91e2237acb7e911c4eba2",314,72,22.9,4.05
c8b0e2b0a7095e5d8219575d5e7e1181,83,19,22.9,4.08
"05ff92fedb5be47920fea08e501238b9",57,13,22.8,4.32
"39d54ff918774174706fb065d7f9dc07",22,5,22.7,4.05
"4b5f66b7adcf57f1ecc0d3c07dd6b177",22,5,22.7,4.09
abcd2cb37d46c2c8fb1bf071c859fc5b,44,10,22.7,4.32
adbc26658d6c7b4b6219f9d934598091,88,20,22.7,4.13
d624126b9206f595fb3fbb6ba03b28a8,22,5,22.7,4.32
df56d7b40d437f88407c5f78b63bc328,22,5,22.7,4.09
f789d2c4f2c2eb38fc4373e7a4b35264,44,10,22.7,4.16
"20cb7c2fde3e5bf10f0bbe7394e1c6a9",31,7,22.6,4.10
"276677b5d08786d5dce7c2149dcce48b",31,7,22.6,4.03
"33576ec5412fb5905d876f12f33bfde6",31,7,22.6,4.10
"5d0363b33554b373851fc1622e4d5f3c",93,21,22.6,4.08
"72c5da29406b4234927b81855e7b64f6",31,7,22.6,4.13
"8648b1e89e9b349e32d3741b30ec737e",93,21,22.6,4.15
a888faf2d1baececa6baf9c3d603ee1f,53,12,22.6,4.09
"00fc707aaaad2d31347cf883cd2dfe10",102,23,22.5,4.04
"16090f2ca825584b5a147ab24aa30c86",396,89,22.5,4.09
cc419e0650a3c5ba77189a1882b7556a,1647,370,22.5,4.15
"48436dade18ac8b2bce089ec2a041202",134,30,22.4,4.10
bd23da7354813347129d751591d1a6e2,85,19,22.4,4.12
d94a40fd42351c259927028d163af842,98,22,22.4,4.21
fcb5ace8bcc92f75707dc0f01a27d269,58,13,22.4,3.98
d91fb3b7d041e83b64a00a3edfb37e4f,520,116,22.3,4.13
"0885aaf116795758dfeb5f1032487bcd",27,6,22.2,4.26
"575df70bde3f9f2b30bf8d2e9910d725",27,6,22.2,4.07
"5cbbd5a299cab112b7bf23862255e43e",36,8,22.2,4.28
"2c9e548be18521d1c43cde1c582c6de8",122,27,22.1,4.13
"34056b8b55c1775a22af2331670a799c",77,17,22.1,4.04
ca3bd7cd9f149df75950150d010fe4a2,68,15,22.1,4.09
"1da366cade6d8276e7d8beea7af5d4bf",41,9,22.0,3.98
"23c38debaffe4a25a30fdbd9b586a13f",41,9,22.0,4.32
a3e9a2c700480d9bb01fba070ba80a0e,127,28,22.0,4.00
"41b39e28db005d9731d9d485a83b4c38",187,41,21.9,4.15
"5a8e7d5003a1f221f9e1d6e411de7c23",137,30,21.9,4.17
"6860153b69cc696d5dcfe1cdaaafcf62",73,16,21.9,4.10
"1b8356dabde1d35e17cef975c3f82730",55,12,21.8,4.22
"8b321bb669392f5163d04c59e235e066",926,202,21.8,4.10
b499c00f28f4b7069ff6550af8c1348a,147,32,21.8,4.22
"4869f7a5dfa277a7dca6462dcf3b52b2",1116,242,21.7,4.15
"5c853bb56f70f4d14218944bae111d7a",23,5,21.7,4.00
"951e8cef368f09bb3f3d03c00ca4702c",60,13,21.7,4.13
a416b6a846a11724393025641d4edd5e,157,34,21.7,4.22
"98dac6635aee4995d501a3972e047414",88,19,21.6,4.15
e24fc9fcd865784fb25705606fe3dfe7,51,11,21.6,4.16
"1da3aeb70d7989d1e6d9b0e887f97c23",260,56,21.5,4.17
aac29b1b99776be73c3049939652091d,93,20,21.5,4.16
f27e33c6d29b5138fa9967bcd445b6d5,93,20,21.5,4.10
"28f10b1c5e5abb9d4857745bede6147c",28,6,21.4,4.00
"58f1a6197ed863543e0136bdedb3fce2",42,9,21.4,4.14
"8931a84a914b3fe9b1ddaa4d704947ca",28,6,21.4,4.07
b18dc380845b24038cfc48006478f099,42,9,21.4,4.21
"0ef83d7d83ed97cd2a0049ac8be5f88a",47,10,21.3,4.15
"4c03b9dd4c11ee2cb35c96c49efc9420",47,10,21.3,4.11
"4e7c18b98d84e05cbae3ff0ff03846c2",80,17,21.3,4.20
"76d5af76d0271110f9af36c92573f765",127,27,21.3,4.13
"827f8f69dfa529c561901c4f2e0f332f",89,19,21.3,4.28
"994f04b3718c2bab35c2adfa8afecd2a",47,10,21.3,4.30
"9c0e69c7bf2619675bbadf47b43f655a",150,32,21.3,4.15
a17f621c590ea0fab3d5d883e1630ec6,61,13,21.3,4.16
"066a6914e1ebf3ea95a216c73a986b91",66,14,21.2,4.09
"1f50f920176fa81dab994f9023523100",1394,296,21.2,4.14
"2a7dc43cecabf23403078e2188437d1d",52,11,21.2,4.10
"3b15288545f8928d3e65a8f949a28291",99,21,21.2,4.11
"624f4ece8da4aafb77699233d480f8ef",52,11,21.2,4.25
b839e41795b7f3ad94cc2014a52f6796,33,7,21.2,4.09
dfc5fb7259bb2b599ca565e6e9448f0f,33,7,21.2,4.12
"3f995f07c49d0d55a99d5c54957f7d81",43,9,20.9,4.21
"7e1fb0a3ebfb01ffb3a7dae98bf3238d",153,32,20.9,4.19
"7e3f87d16fb353f408d467e74fbd8014",91,19,20.9,4.16
"2199e7fe213c16213bf5d6a7eadc9a5d",24,5,20.8,4.38
"272f092de69afedd4d2969440b37f18f",24,5,20.8,3.92
"6a51fc556dab5f766ced6fbc860bc613",24,5,20.8,4.00
"6a8b085f816a1f75f92dbac6eb545f8f",125,26,20.8,4.16
"8b9d6eec4a7eb7d0f9d579ce0b38324d",48,10,20.8,4.06
a938325a4b357fd23a6a4d5bb126408e,24,5,20.8,3.83
cb3dd9ce66268c7a3ca7241ac70ab58c,48,10,20.8,4.19
cea729054f157f5870bdd321a958d994,24,5,20.8,4.13
da8622b14eb17ae2831f4ac5b9dab84a,1305,271,20.8,4.17
"01cf7e3d21494c41fb86034f2e714fa1",58,12,20.7,4.12
"1464afc72f696af775557a821c2e253f",29,6,20.7,4.24
"31da954dc0855f2495c6310f70a2f931",29,6,20.7,4.21
"4bf2f4ee540798a61f9636d12cd9cc80",29,6,20.7,4.14
"6ec1a01e866584bb679eb9b098345919",29,6,20.7,4.24
"7aa4334be125fcdd2ba64b3180029f14",213,44,20.7,4.13
f262cbc1c910c83959f849465454ddd3,188,39,20.7,4.18
"1c129092bf23f28a5930387c980c0dfc",199,41,20.6,4.25
"33ac3e28642ab8bda860a2f693000e78",34,7,20.6,4.21
"6fc26fe110feebd80a433e1f012a84f9",34,7,20.6,3.91
"99eaacc9e6046db1c82b163c5f84869f",63,13,20.6,4.00
b90e891671cffd9557f33a97dc523645,34,7,20.6,4.32
ec8879960bd2221d5c32f8e12f7da711,34,7,20.6,4.29
ececbfcff9804a2d6b40f589df8eef2b,97,20,20.6,4.11
"77530e9772f57a62c906e1c21538ab82",312,64,20.5,4.15
ce7d1888639e6fb06b2749cbfdac1ff7,78,16,20.5,4.17
"729f06993dac8e860d4f02d7088ca48a",93,19,20.4,4.22
e067ad2c1c0b48758eb1b5228bcf7a68,54,11,20.4,4.15
"582d4f8675b945722eda7c0cb61ba4c7",59,12,20.3,4.15
"8a432f4e5b471f8da497d7dc517666e2",94,19,20.2,4.19
"1127b7f2594683f2510f1c2c834a486b",110,22,20.0,4.19
"2bf6a2c1e71bbd29a4ad64e6d3c3629f",30,6,20.0,4.17
"30a2f535bb48308f991d0b9ad4a8c4bb",70,14,20.0,4.27
"3bdff180c7e1f6551a643b99c265a120",55,11,20.0,4.25
"3d871de0142ce09b7081e2b9d1733cb1",1053,211,20.0,4.19
"3df020b72d3d44b3af9d110fa3940b65",55,11,20.0,4.05
"542917da124346b47ea1ac79a93ce454",20,4,20.0,4.15
"6b3bd31ad8fcda4b2635ec9f3ff2ecdf",35,7,20.0,4.09
"83deb69e889cf80f82be1dc6d5f2d486",40,8,20.0,4.33
"974cf2cb8f4b7add98709c30df02fe10",30,6,20.0,4.17
e8b4225284fbb02d16f200513f1f395d,30,6,20.0,4.30
f80edd2c5aaa505cc4b0a3b219abf4b8,115,23,20.0,4.15
